Regi√£o,Ano,Faixa_Etaria,Obitos
Nordeste,1992,30 a 39 anos,197
Nordeste,1993,30 a 39 anos,208
Nordeste,1994,30 a 39 anos,174
Nordeste,1995,30 a 39 anos,153
Sudeste,1979,30 a 39 anos,29
Sudeste,1980,30 a 39 anos,32
Sudeste,1981,30 a 39 anos,34
Sudeste,1982,30 a 39 anos,36
Sudeste,1983,30 a 39 anos,43
Sudeste,1984,30 a 39 anos,39
Sudeste,1985,30 a 39 anos,49
Sudeste,1986,30 a 39 anos,49
Sudeste,1987,30 a 39 anos,51
Sudeste,1988,30 a 39 anos,47
Sudeste,1989,30 a 39 anos,57
Sudeste,1990,30 a 39 anos,46
Sudeste,1991,30 a 39 anos,41
Sudeste,1992,30 a 39 anos,50
Sudeste,1993,30 a 39 anos,53
Sudeste,1994,30 a 39 anos,55
Sudeste,1995,30 a 39 anos,67
Nordeste,1996,30 a 39 anos,70
Nordeste,1997,30 a 39 anos,70
Nordeste,1998,30 a 39 anos,75
Nordeste,1999,30 a 39 anos,79
Nordeste,2000,30 a 39 anos,90
Nordeste,2001,30 a 39 anos,92
Nordeste,2002,30 a 39 anos,89
Nordeste,2003,30 a 39 anos,95
Nordeste,2004,30 a 39 anos,83
Nordeste,2005,30 a 39 anos,90
Nordeste,2006,30 a 39 anos,101
Nordeste,2007,30 a 39 anos,107
Nordeste,2008,30 a 39 anos,84
Nordeste,2009,30 a 39 anos,94
Nordeste,2010,30 a 39 anos,92
Nordeste,2011,30 a 39 anos,105
Nordeste,2012,30 a 39 anos,115
Nordeste,2013,30 a 39 anos,129
Nordeste,2014,30 a 39 anos,116
Nordeste,2015,30 a 39 anos,109
Nordeste,2016,30 a 39 anos,116
Nordeste,2017,30 a 39 anos,116
Nordeste,2018,30 a 39 anos,125
Nordeste,2019,30 a 39 anos,122
Nordeste,2020,30 a 39 anos,98
Nordeste,2021,30 a 39 anos,95
Nordeste,2022,30 a 39 anos,123
Sudeste,1996,30 a 39 anos,197
Sudeste,1997,30 a 39 anos,208
Sudeste,1998,30 a 39 anos,203
Sudeste,1999,30 a 39 anos,191
Sudeste,2000,30 a 39 anos,193
Sudeste,2001,30 a 39 anos,207
Sudeste,2002,30 a 39 anos,196
Sudeste,2003,30 a 39 anos,205
Sudeste,2004,30 a 39 anos,181
Sudeste,2005,30 a 39 anos,197
Sudeste,2006,30 a 39 anos,188
Sudeste,2007,30 a 39 anos,188
Sudeste,2008,30 a 39 anos,192
Sudeste,2009,30 a 39 anos,184
Sudeste,2010,30 a 39 anos,200
Sudeste,2011,30 a 39 anos,207
Sudeste,2012,30 a 39 anos,189
Sudeste,2013,30 a 39 anos,195
Sudeste,2014,30 a 39 anos,203
Sudeste,2015,30 a 39 anos,219
Sudeste,2016,30 a 39 anos,213
Sudeste,2017,30 a 39 anos,209
Sudeste,2018,30 a 39 anos,183
Sudeste,2019,30 a 39 anos,201
Sudeste,2020,30 a 39 anos,164
Sudeste,2021,30 a 39 anos,177
Sudeste,2022,30 a 39 anos,172
Nordeste,1979,40 a 49 anos,142
Nordeste,1980,40 a 49 anos,154
Nordeste,1981,40 a 49 anos,171
Nordeste,1982,40 a 49 anos,154
Nordeste,1983,40 a 49 anos,160
Nordeste,1984,40 a 49 anos,152
Nordeste,1985,40 a 49 anos,150
Nordeste,1986,40 a 49 anos,148
Nordeste,1987,40 a 49 anos,159
Nordeste,1988,40 a 49 anos,169
Nordeste,1989,40 a 49 anos,155
Nordeste,1990,40 a 49 anos,182
Nordeste,1991,40 a 49 anos,196
Nordeste,1992,40 a 49 anos,172
Nordeste,1993,40 a 49 anos,169
Nordeste,1994,40 a 49 anos,192
Nordeste,1995,40 a 49 anos,211
Sudeste,1979,40 a 49 anos,29
Sudeste,1980,40 a 49 anos,35
Sudeste,1981,40 a 49 anos,44
Sudeste,1982,40 a 49 anos,30
Sudeste,1983,40 a 49 anos,45
Sudeste,1984,40 a 49 anos,41
Sudeste,1985,40 a 49 anos,41
Sudeste,1986,40 a 49 anos,34
Sudeste,1987,40 a 49 anos,38
Sudeste,1988,40 a 49 anos,53
Sudeste,1989,40 a 49 anos,42
Sudeste,1990,40 a 49 anos,43
Sudeste,1991,40 a 49 anos,48
Sudeste,1992,40 a 49 anos,69
Sudeste,1993,40 a 49 anos,73
Sudeste,1994,40 a 49 anos,62
Sudeste,1995,40 a 49 anos,63
Nordeste,1996,40 a 49 anos,57
Nordeste,1997,40 a 49 anos,71
Nordeste,1998,40 a 49 anos,77
Nordeste,1999,40 a 49 anos,71
Nordeste,2000,40 a 49 anos,74
Nordeste,2001,40 a 49 anos,76
Nordeste,2002,40 a 49 anos,109
Nordeste,2003,40 a 49 anos,100
Nordeste,2004,40 a 49 anos,87
Nordeste,2005,40 a 49 anos,98
Nordeste,2006,40 a 49 anos,112
Nordeste,2007,40 a 49 anos,125
Nordeste,2008,40 a 49 anos,109
Nordeste,2009,40 a 49 anos,121
Nordeste,2010,40 a 49 anos,139
Nordeste,2011,40 a 49 anos,128
Nordeste,2012,40 a 49 anos,112
Nordeste,2013,40 a 49 anos,119
Nordeste,2014,40 a 49 anos,115
Nordeste,2015,40 a 49 anos,116
Nordeste,2016,40 a 49 anos,119
Nordeste,2017,40 a 49 anos,138
Nordeste,2018,40 a 49 anos,127
Nordeste,2019,40 a 49 anos,148
Nordeste,2020,40 a 49 anos,127
Nordeste,2021,40 a 49 anos,142
Nordeste,2022,40 a 49 anos,126
Sudeste,1996,40 a 49 anos,208
Sudeste,1997,40 a 49 anos,213
Sudeste,1998,40 a 49 anos,207
Sudeste,1999,40 a 49 anos,210
Sudeste,2000,40 a 49 anos,240
Sudeste,2001,40 a 49 anos,261
Sudeste,2002,40 a 49 anos,219
Sudeste,2003,40 a 49 anos,226
Sudeste,2004,40 a 49 anos,232
Sudeste,2005,40 a 49 anos,257
Sudeste,2006,40 a 49 anos,247
Sudeste,2007,40 a 49 anos,230
Sudeste,2008,40 a 49 anos,272
Sudeste,2009,40 a 49 anos,231
Sudeste,2010,40 a 49 anos,241
Sudeste,2011,40 a 49 anos,222
Sudeste,2012,40 a 49 anos,230
Sudeste,2013,40 a 49 anos,269
Sudeste,2014,40 a 49 anos,226
Sudeste,2015,40 a 49 anos,240
Sudeste,2016,40 a 49 anos,256
Sudeste,2017,40 a 49 anos,208
Sudeste,2018,40 a 49 anos,223
Sudeste,2019,40 a 49 anos,250
Sudeste,2020,40 a 49 anos,236
Sudeste,2021,40 a 49 anos,193
Sudeste,2022,40 a 49 anos,242
Nordeste,1979,50 a 59 anos,164
Nordeste,1980,50 a 59 anos,164
Nordeste,1981,50 a 59 anos,167
Nordeste,1982,50 a 59 anos,179
Nordeste,1983,50 a 59 anos,189
Nordeste,1984,50 a 59 anos,176
Nordeste,1985,50 a 59 anos,189
Nordeste,1986,50 a 59 anos,219
Nordeste,1987,50 a 59 anos,216
Nordeste,1988,50 a 59 anos,202
Nordeste,1989,50 a 59 anos,194
Nordeste,1990,50 a 59 anos,210
Nordeste,1991,50 a 59 anos,223
Nordeste,1992,50 a 59 anos,221
Nordeste,1993,50 a 59 anos,187
Nordeste,1994,50 a 59 anos,221
Nordeste,1995,50 a 59 anos,258
Sudeste,1979,50 a 59 anos,39
Sudeste,1980,50 a 59 anos,44
Sudeste,1981,50 a 59 anos,43
Sudeste,1982,50 a 59 anos,47
Sudeste,1983,50 a 59 anos,42
Sudeste,1984,50 a 59 anos,45
Sudeste,1985,50 a 59 anos,53
Sudeste,1986,50 a 59 anos,37
Sudeste,1987,50 a 59 anos,38
Sudeste,1988,50 a 59 anos,57
Sudeste,1989,50 a 59 anos,55
Sudeste,1990,50 a 59 anos,40
Sudeste,1991,50 a 59 anos,63
Sudeste,1992,50 a 59 anos,55
Sudeste,1993,50 a 59 anos,53
Sudeste,1994,50 a 59 anos,64
Sudeste,1995,50 a 59 anos,75
Nordeste,1996,50 a 59 anos,73
Nordeste,1997,50 a 59 anos,57
Nordeste,1998,50 a 59 anos,74
Nordeste,1999,50 a 59 anos,78
Nordeste,2000,50 a 59 anos,90
Nordeste,2001,50 a 59 anos,82
Nordeste,2002,50 a 59 anos,99
Nordeste,2003,50 a 59 anos,90
Nordeste,2004,50 a 59 anos,115
Nordeste,2005,50 a 59 anos,101
Nordeste,2006,50 a 59 anos,133
Nordeste,2007,50 a 59 anos,158
Nordeste,2008,50 a 59 anos,123
Nordeste,2009,50 a 59 anos,127
Nordeste,2010,50 a 59 anos,133
Nordeste,2011,50 a 59 anos,150
Nordeste,2012,50 a 59 anos,156
Nordeste,2013,50 a 59 anos,163
Nordeste,2014,50 a 59 anos,169
Nordeste,2015,50 a 59 anos,170
Nordeste,2016,50 a 59 anos,173
Nordeste,2017,50 a 59 anos,172
Nordeste,2018,50 a 59 anos,211
Nordeste,2019,50 a 59 anos,190
Nordeste,2020,50 a 59 anos,189
Nordeste,2021,50 a 59 anos,150
Nordeste,2022,50 a 59 anos,170
Sudeste,1996,50 a 59 anos,216
Sudeste,1997,50 a 59 anos,245
Sudeste,1998,50 a 59 anos,258
Sudeste,1999,50 a 59 anos,226
Sudeste,2000,50 a 59 anos,255
Sudeste,2001,50 a 59 anos,262
Sudeste,2002,50 a 59 anos,253
Sudeste,2003,50 a 59 anos,279
Sudeste,2004,50 a 59 anos,292
Sudeste,2005,50 a 59 anos,300
Sudeste,2006,50 a 59 anos,315
Sudeste,2007,50 a 59 anos,340
Sudeste,2008,50 a 59 anos,320
Sudeste,2009,50 a 59 anos,326
Sudeste,2010,50 a 59 anos,346
Sudeste,2011,50 a 59 anos,349
Sudeste,2012,50 a 59 anos,340
Sudeste,2013,50 a 59 anos,338
Sudeste,2014,50 a 59 anos,349
Sudeste,2015,50 a 59 anos,397
Sudeste,2016,50 a 59 anos,350
Sudeste,2017,50 a 59 anos,341
Sudeste,2018,50 a 59 anos,362
Sudeste,2019,50 a 59 anos,386
Sudeste,2020,50 a 59 anos,329
Sudeste,2021,50 a 59 anos,357
Sudeste,2022,50 a 59 anos,319
Nordeste,1979,60 a 69 anos,185
Nordeste,1980,60 a 69 anos,192
Nordeste,1981,60 a 69 anos,205
Nordeste,1982,60 a 69 anos,181
Nordeste,1983,60 a 69 anos,216
Nordeste,1984,60 a 69 anos,207
Nordeste,1985,60 a 69 anos,220
Nordeste,1986,60 a 69 anos,237
Nordeste,1987,60 a 69 anos,242
Nordeste,1988,60 a 69 anos,235
Nordeste,1989,60 a 69 anos,223
Nordeste,1990,60 a 69 anos,235
Nordeste,1991,60 a 69 anos,284
Nordeste,1992,60 a 69 anos,272
Nordeste,1993,60 a 69 anos,292
Nordeste,1994,60 a 69 anos,276
Nordeste,1995,60 a 69 anos,318
Sudeste,1979,60 a 69 anos,24
Sudeste,1980,60 a 69 anos,27
Sudeste,1981,60 a 69 anos,34
Sudeste,1982,60 a 69 anos,33
Sudeste,1983,60 a 69 anos,52
Sudeste,1984,60 a 69 anos,42
Sudeste,1985,60 a 69 anos,43
Sudeste,1986,60 a 69 anos,52
Sudeste,1987,60 a 69 anos,57
Sudeste,1988,60 a 69 anos,56
Sudeste,1989,60 a 69 anos,63
Sudeste,1990,60 a 69 anos,56
Sudeste,1991,60 a 69 anos,44
Sudeste,1992,60 a 69 anos,66
Sudeste,1993,60 a 69 anos,67
Sudeste,1994,60 a 69 anos,70
Sudeste,1995,60 a 69 anos,76
Nordeste,1996,60 a 69 anos,74
Nordeste,1997,60 a 69 anos,69
Nordeste,1998,60 a 69 anos,88
Nordeste,1999,60 a 69 anos,88
Nordeste,2000,60 a 69 anos,82
Nordeste,2001,60 a 69 anos,93
Nordeste,2002,60 a 69 anos,113
Nordeste,2003,60 a 69 anos,124
Nordeste,2004,60 a 69 anos,130
Nordeste,2005,60 a 69 anos,133
Nordeste,2006,60 a 69 anos,169
Nordeste,2007,60 a 69 anos,159
Nordeste,2008,60 a 69 anos,183
Nordeste,2009,60 a 69 anos,192
Nordeste,2010,60 a 69 anos,168
Nordeste,2011,60 a 69 anos,188
Nordeste,2012,60 a 69 anos,224
Nordeste,2013,60 a 69 anos,210
Nordeste,2014,60 a 69 anos,213
Nordeste,2015,60 a 69 anos,230
Nordeste,2016,60 a 69 anos,251
Nordeste,2017,60 a 69 anos,228
Nordeste,2018,60 a 69 anos,264
Nordeste,2019,60 a 69 anos,297
Nordeste,2020,60 a 69 anos,244
Nordeste,2021,60 a 69 anos,256
Nordeste,2022,60 a 69 anos,242
Sudeste,1996,60 a 69 anos,316
Sudeste,1997,60 a 69 anos,331
Sudeste,1998,60 a 69 anos,329
Sudeste,1999,60 a 69 anos,310
Sudeste,2000,60 a 69 anos,315
Sudeste,2001,60 a 69 anos,350
Sudeste,2002,60 a 69 anos,372
Sudeste,2003,60 a 69 anos,403
Sudeste,2004,60 a 69 anos,363
Sudeste,2005,60 a 69 anos,389
Sudeste,2006,60 a 69 anos,368
Sudeste,2007,60 a 69 anos,418
Sudeste,2008,60 a 69 anos,408
Sudeste,2009,60 a 69 anos,383
Sudeste,2010,60 a 69 anos,419
Sudeste,2011,60 a 69 anos,489
Sudeste,2012,60 a 69 anos,433
Sudeste,2013,60 a 69 anos,480
Sudeste,2014,60 a 69 anos,470
Sudeste,2015,60 a 69 anos,572
Sudeste,2016,60 a 69 anos,560
Sudeste,2017,60 a 69 anos,566
Sudeste,2018,60 a 69 anos,555
Sudeste,2019,60 a 69 anos,589
Sudeste,2020,60 a 69 anos,522
Sudeste,2021,60 a 69 anos,555
Sudeste,2022,60 a 69 anos,599
Nordeste,1979,70 a 79 anos,151
Nordeste,1980,70 a 79 anos,178
Nordeste,1981,70 a 79 anos,147
Nordeste,1982,70 a 79 anos,174
Nordeste,1983,70 a 79 anos,195
Nordeste,1984,70 a 79 anos,192
Nordeste,1985,70 a 79 anos,179
Nordeste,1986,70 a 79 anos,222
Nordeste,1987,70 a 79 anos,218
Nordeste,1988,70 a 79 anos,228
Nordeste,1989,70 a 79 anos,221
Nordeste,1990,70 a 79 anos,230
Nordeste,1991,70 a 79 anos,226
Nordeste,1992,70 a 79 anos,262
Nordeste,1993,70 a 79 anos,242
Nordeste,1994,70 a 79 anos,291
Nordeste,1995,70 a 79 anos,270
Sudeste,1979,70 a 79 anos,23
Sudeste,1980,70 a 79 anos,25
Sudeste,1981,70 a 79 anos,23
Sudeste,1982,70 a 79 anos,38
Sudeste,1983,70 a 79 anos,29
Sudeste,1984,70 a 79 anos,37
Sudeste,1985,70 a 79 anos,34
Sudeste,1986,70 a 79 anos,39
Sudeste,1987,70 a 79 anos,40
Sudeste,1988,70 a 79 anos,43
Sudeste,1989,70 a 79 anos,46
Sudeste,1990,70 a 79 anos,50
Sudeste,1991,70 a 79 anos,63
Sudeste,1992,70 a 79 anos,56
Sudeste,1993,70 a 79 anos,62
Sudeste,1994,70 a 79 anos,51
Sudeste,1995,70 a 79 anos,67
Nordeste,1996,70 a 79 anos,71
Nordeste,1997,70 a 79 anos,70
Nordeste,1998,70 a 79 anos,78
Nordeste,1999,70 a 79 anos,93
Nordeste,2000,70 a 79 anos,111
Nordeste,2001,70 a 79 anos,129
Nordeste,2002,70 a 79 anos,115
Nordeste,2003,70 a 79 anos,137
Nordeste,2004,70 a 79 anos,153
Nordeste,2005,70 a 79 anos,158
Nordeste,2006,70 a 79 anos,175
Nordeste,2007,70 a 79 anos,198
Nordeste,2008,70 a 79 anos,214
Nordeste,2009,70 a 79 anos,206
Nordeste,2010,70 a 79 anos,199
Nordeste,2011,70 a 79 anos,190
Nordeste,2012,70 a 79 anos,216
Nordeste,2013,70 a 79 anos,239
Nordeste,2014,70 a 79 anos,277
Nordeste,2015,70 a 79 anos,255
Nordeste,2016,70 a 79 anos,271
Nordeste,2017,70 a 79 anos,267
Nordeste,2018,70 a 79 anos,315
Nordeste,2019,70 a 79 anos,304
Nordeste,2020,70 a 79 anos,293
Nordeste,2021,70 a 79 anos,309
Nordeste,2022,70 a 79 anos,283
Sudeste,1996,70 a 79 anos,334
Sudeste,1997,70 a 79 anos,309
Sudeste,1998,70 a 79 anos,332
Sudeste,1999,70 a 79 anos,350
Sudeste,2000,70 a 79 anos,414
Sudeste,2001,70 a 79 anos,442
Sudeste,2002,70 a 79 anos,425
Sudeste,2003,70 a 79 anos,419
Sudeste,2004,70 a 79 anos,481
Sudeste,2005,70 a 79 anos,467
Sudeste,2006,70 a 79 anos,461
Sudeste,2007,70 a 79 anos,500
Sudeste,2008,70 a 79 anos,510
Sudeste,2009,70 a 79 anos,522
Sudeste,2010,70 a 79 anos,579
Sudeste,2011,70 a 79 anos,594
Sudeste,2012,70 a 79 anos,547
Sudeste,2013,70 a 79 anos,575
Sudeste,2014,70 a 79 anos,600
Sudeste,2015,70 a 79 anos,614
Sudeste,2016,70 a 79 anos,647
Sudeste,2017,70 a 79 anos,637
Sudeste,2018,70 a 79 anos,703
Sudeste,2019,70 a 79 anos,699
Sudeste,2020,70 a 79 anos,647
Sudeste,2021,70 a 79 anos,643
Sudeste,2022,70 a 79 anos,704
Nordeste,1979,80 anos e mais,41
Nordeste,1980,80 anos e mais,67
Nordeste,1981,80 anos e mais,68
Nordeste,1982,80 anos e mais,75
Nordeste,1983,80 anos e mais,83
Nordeste,1984,80 anos e mais,98
Nordeste,1985,80 anos e mais,101
Nordeste,1986,80 anos e mais,101
Nordeste,1987,80 anos e mais,101
Nordeste,1988,80 anos e mais,97
Nordeste,1989,80 anos e mais,105
Nordeste,1990,80 anos e mais,132
Nordeste,1991,80 anos e mais,140
Nordeste,1992,80 anos e mais,151
Nordeste,1993,80 anos e mais,173
Nordeste,1994,80 anos e mais,169
Nordeste,1995,80 anos e mais,155
Sudeste,1979,80 anos e mais,6
Sudeste,1980,80 anos e mais,5
Sudeste,1981,80 anos e mais,13
Sudeste,1982,80 anos e mais,13
Sudeste,1983,80 anos e mais,12
Sudeste,1984,80 anos e mais,5
Sudeste,1985,80 anos e mais,18
Sudeste,1986,80 anos e mais,14
Sudeste,1987,80 anos e mais,26
Sudeste,1988,80 anos e mais,18
Sudeste,1989,80 anos e mais,17
Sudeste,1990,80 anos e mais,18
Sudeste,1991,80 anos e mais,27
Sudeste,1992,80 anos e mais,27
Sudeste,1993,80 anos e mais,26
Sudeste,1994,80 anos e mais,36
Sudeste,1995,80 anos e mais,50
Nordeste,1996,80 anos e mais,51
Nordeste,1997,80 anos e mais,39
Nordeste,1998,80 anos e mais,40
Nordeste,1999,80 anos e mais,46
Nordeste,2000,80 anos e mais,48
Nordeste,2001,80 anos e mais,65
Nordeste,2002,80 anos e mais,74
Nordeste,2003,80 anos e mais,76
Nordeste,2004,80 anos e mais,100
Nordeste,2005,80 anos e mais,124
Nordeste,2006,80 anos e mais,156
Nordeste,2007,80 anos e mais,164
Nordeste,2008,80 anos e mais,151
Nordeste,2009,80 anos e mais,178
Nordeste,2010,80 anos e mais,187
Nordeste,2011,80 anos e mais,197
Nordeste,2012,80 anos e mais,201
Nordeste,2013,80 anos e mais,192
Nordeste,2014,80 anos e mais,238
Nordeste,2015,80 anos e mais,283
Nordeste,2016,80 anos e mais,269
Nordeste,2017,80 anos e mais,273
Nordeste,2018,80 anos e mais,275
Nordeste,2019,80 anos e mais,296
Nordeste,2020,80 anos e mais,268
Nordeste,2021,80 anos e mais,258
Nordeste,2022,80 anos e mais,317
Sudeste,1996,80 anos e mais,199
Sudeste,1997,80 anos e mais,209
Sudeste,1998,80 anos e mais,206
Sudeste,1999,80 anos e mais,242
Sudeste,2000,80 anos e mais,257
Sudeste,2001,80 anos e mais,259
Sudeste,2002,80 anos e mais,298
Sudeste,2003,80 anos e mais,310
Sudeste,2004,80 anos e mais,324
Sudeste,2005,80 anos e mais,334
Sudeste,2006,80 anos e mais,360
Sudeste,2007,80 anos e mais,417
Sudeste,2008,80 anos e mais,437
Sudeste,2009,80 anos e mais,424
Sudeste,2010,80 anos e mais,499
Sudeste,2011,80 anos e mais,513
Sudeste,2012,80 anos e mais,515
Sudeste,2013,80 anos e mais,568
Sudeste,2014,80 anos e mais,562
Sudeste,2015,80 anos e mais,581
Sudeste,2016,80 anos e mais,684
Sudeste,2017,80 anos e mais,629
Sudeste,2018,80 anos e mais,701
Sudeste,2019,80 anos e mais,698
Sudeste,2020,80 anos e mais,643
Sudeste,2021,80 anos e mais,672
Sudeste,2022,80 anos e mais,662
