Região,Ano,Faixa_Etaria,População
Nordeste,1980,Menor 1 ano,1204173
Nordeste,1991,Menor 1 ano,1026248
Nordeste,2000,Menor 1 ano,996497
Nordeste,2010,Menor 1 ano,819180
Sudeste,1980,Menor 1 ano,1388367
Sudeste,1991,Menor 1 ano,1210998
Sudeste,2000,Menor 1 ano,1236967
Sudeste,2010,Menor 1 ano,1026440
Nordeste,1980,1 a 4 anos,4317518
Nordeste,1991,1 a 4 anos,4398758
Nordeste,2000,1 a 4 anos,4063990
Nordeste,2010,1 a 4 anos,3412730
Sudeste,1980,1 a 4 anos,4981258
Sudeste,1991,1 a 4 anos,5052683
Sudeste,2000,1 a 4 anos,5075494
Sudeste,2010,1 a 4 anos,4157854
Nordeste,1980,5 a 9 anos,4921091
Nordeste,1991,5 a 9 anos,5756859
Nordeste,2000,5 a 9 anos,5132313
Nordeste,2010,5 a 9 anos,4626691
Sudeste,1980,5 a 9 anos,5712342
Sudeste,1991,5 a 9 anos,6671418
Sudeste,2000,5 a 9 anos,6330781
Sudeste,2010,5 a 9 anos,5647514
Nordeste,1980,10 a 14 anos,4658355
Nordeste,1991,10 a 14 anos,5563682
Nordeste,2000,10 a 14 anos,5549925
Nordeste,2010,10 a 14 anos,5246090
Sudeste,1980,10 a 14 anos,5570263
Sudeste,1991,10 a 14 anos,6649626
Sudeste,2000,10 a 14 anos,6684660
Sudeste,2010,10 a 14 anos,6620412
Nordeste,1980,15 a 19 anos,4025828
Nordeste,1991,15 a 19 anos,4755682
Nordeste,2000,15 a 19 anos,5571708
Nordeste,2010,15 a 19 anos,5137131
Sudeste,1980,15 a 19 anos,5731219
Sudeste,1991,15 a 19 anos,5968244
Sudeste,2000,15 a 19 anos,7155091
Sudeste,2010,15 a 19 anos,6594988
Nordeste,1980,20 a 29 anos,5235429
Nordeste,1991,20 a 29 anos,7064393
Nordeste,2000,20 a 29 anos,8311554
Nordeste,2010,20 a 29 anos,9828978
Sudeste,1980,20 a 29 anos,9928571
Sudeste,1991,20 a 29 anos,11511439
Sudeste,2000,20 a 29 anos,12878092
Sudeste,2010,20 a 29 anos,14178628
Nordeste,1980,30 a 39 anos,3599711
Nordeste,1991,30 a 39 anos,4899056
Nordeste,2000,30 a 39 anos,6376840
Nordeste,2010,30 a 39 anos,7909522
Sudeste,1980,30 a 39 anos,6611297
Sudeste,1991,30 a 39 anos,9720176
Sudeste,2000,30 a 39 anos,11385051
Sudeste,2010,30 a 39 anos,12824379
Nordeste,1980,40 a 49 anos,2681135
Nordeste,1991,40 a 49 anos,3526467
Nordeste,2000,40 a 49 anos,4550234
Nordeste,2010,40 a 49 anos,6273193
Sudeste,1980,40 a 49 anos,4936243
Sudeste,1991,40 a 49 anos,6524135
Sudeste,2000,40 a 49 anos,9121660
Sudeste,2010,40 a 49 anos,11119884
Nordeste,1980,50 a 59 anos,1919777
Nordeste,1991,50 a 59 anos,2418809
Nordeste,2000,50 a 59 anos,3167793
Nordeste,2010,50 a 59 anos,4372258
Sudeste,1980,50 a 59 anos,3511624
Sudeste,1991,50 a 59 anos,4447624
Sudeste,2000,50 a 59 anos,5811727
Sudeste,2010,50 a 59 anos,8666957
Nordeste,1980,60 a 69 anos,1311012
Nordeste,1991,60 a 69 anos,1733493
Nordeste,2000,60 a 69 anos,2153358
Nordeste,2010,60 a 69 anos,2914465
Sudeste,1980,60 a 69 anos,2075121
Sudeste,1991,60 a 69 anos,3049055
Sudeste,2000,60 a 69 anos,3812460
Sudeste,2010,60 a 69 anos,5232864
Nordeste,1980,70 a 79 anos,708816
Nordeste,1991,70 a 79 anos,976614
Nordeste,2000,70 a 79 anos,1266648
Nordeste,2010,70 a 79 anos,1673166
Sudeste,1980,70 a 79 anos,971006
Sudeste,1991,70 a 79 anos,1435285
Sudeste,2000,70 a 79 anos,2117645
Sudeste,2010,70 a 79 anos,2939515
Nordeste,1980,80 anos e mais,190569
Nordeste,1991,80 anos e mais,377479
Nordeste,2000,80 anos e mais,600851
Nordeste,2010,80 anos e mais,868546
Sudeste,1980,80 anos e mais,277498
Sudeste,1991,80 anos e mais,499718
Sudeste,2000,80 anos e mais,802783
Sudeste,2010,80 anos e mais,1354975